SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"JSWSTEEL","1,276.40","1,282.20","1,262.00","1,270.80","1,271.40","-","0.6","0.05","1449872","184.08","1,328.00","1,018.00","4.42","21.15"
"NMDC","85.50","85.60","84.69","85.01","85.05","-","0.04","0.05","12787764","108.71","97.49","68.19","0.88","20.13"
"IOC","140.20","140.69","138.86","139.94","139.99","-","0.05","0.04","9626379","134.77","188.96","130.22","0.24","-3.74"
"UPL","607.60","607.60","599.05","602.55","602.70","-","0.15","0.02","1386415","83.73","812.20","563.15","6.95","-14.14"
"LT","3,962.90","3,973.10","3,923.20","3,937.70","3,938.00","-","0.3","0.01","1753377","691.01","4,440.00","3,288.10","-3.76","8.32"
"NYKAA","336.20","338.00","331.05","333.75","333.80","-","0.05","0.01","6380873","212.97","338.00","200.14","8.02","59.05"
"ICICIBANK","1,434.30","1,441.90","1,431.40","1,433.90","1,433.90","-","0","0","8752440","1,255.92","1,494.50","1,187.60","4.03","-3.11"
"CROMPTON","260.45","263.90","258.15","260.30","260.25","-","-0.05","-0.02","2921974","76.01","337.50","217.40","-3.43","-19.44"
"INDUSINDBK","1,011.45","1,017.90","996.40","1,011.45","1,011.00","-","-0.45","-0.04","2922821","295.28","1,077.85","710.60","7.52","26.73"
"INDUSTOWER","394.90","394.90","371.40","392.90","392.70","-","-0.2","-0.05","8164388","315.20","481.50","312.55","0.58","7.74"
"HAVELLS","1,273.90","1,273.90","1,256.90","1,261.70","1,260.40","-","-1.3","-0.1","1095362","138.11","1,621.10","1,123.60","6.05","-15.99"
"CONCOR","527.70","528.95","520.85","525.15","524.50","-","-0.65","-0.12","1280939","67.36","598.85","421.45","9.42","-9.11"
"KOTAKBANK","390.20","391.85","388.00","389.40","388.85","-","-0.55","-0.14","7014637","273.61","453.20","345.50","-2.53","-80.27"
"AXISBANK","1,226.20","1,239.70","1,226.00","1,228.90","1,227.10","-","-1.8","-0.15","7487936","920.81","1,418.30","1,042.50","-10.17","15.08"
"SAIL","169.66","171.85","167.97","169.05","168.80","-","-0.25","-0.15","15525081","262.86","209.70","118.10","0.45","36.1"
"JUBLFOOD","441.00","441.00","433.00","439.80","438.80","-","-1","-0.23","2001357","87.39","670.45","408.55","3.99","-33.14"
"MFSL","1,517.90","1,520.50","1,494.40","1,510.80","1,507.00","-","-3.8","-0.25","516369","77.54","1,892.50","1,433.60","-6.83","-0.16"
"GRASIM","3,115.70","3,135.90","3,092.60","3,104.80","3,096.00","-","-8.8","-0.28","309447","96.22","3,246.00","2,502.50","-1.26","12.9"
"PFC","423.70","427.10","420.35","426.25","425.00","-","2.7","0.64","10382221","440.12","486.50","329.90","-1.49","3.51"
"ASIANPAINT","2,773.90","2,774.90","2,732.40","2,746.20","2,738.00","-","-8.2","-0.3","891738","245.21","2,985.70","2,115.00","1.14","14.66"
"LUPIN","2,428.40","2,435.00","2,404.00","2,421.20","2,413.90","-","-7.3","-0.3","1006308","243.25","2,529.50","1,836.80","0.73","25.19"
"GODFRYPHLP","2,144.00","2,204.60","2,122.00","2,131.80","2,125.00","-","-6.8","-0.32","406755","87.80","3,947.00","1,832.10","-1.21","-76.58"
"CDSL","1,338.00","1,348.00","1,330.00","1,336.40","1,331.90","-","-4.5","-0.34","745681","99.85","1,673.70","1,116.30","0.05","-9.98"
"IREDA","119.60","120.60","119.20","119.88","119.44","-","-0.44","-0.37","4072312","48.83","163.35","108.65","-6.52","-18.86"
"HINDUNILVR","2,119.60","2,119.60","2,091.10","2,107.90","2,099.40","-","-8.5","-0.4","1759019","369.59","2,750.00","2,016.00","-3.7","-16.65"
"RADICO","4,374.90","4,390.00","4,321.00","4,366.60","4,348.00","-","-18.6","-0.43","366998","159.70","4,494.40","2,500.00","9.82","58.74"
